"Proper Winery, US",United States,"[37.09024, -95.712891]"
"Pietradolce Winery, Italy","SS120, 174, 95012 Contrada Rampante,Castiglione di Sicilia CT, Italy","[37.8609823, 15.0536353]"
"José Dhondt Winery, France","1 Rue de Flavigny, 51190 Oger, France","[48.9584507, 4.0141377]"
"Neyers Winery, US","2153 Sage Canyon Rd, St Helena, CA 94574, USA","[38.4894359, -122.3274824]"
"Nicholson Ranch Winery, US","4200 Napa Rd, Sonoma, CA 95476, USA","[38.2549811, -122.3941076]"
"Cantine del Notaio Winery, Italy","Via Roma, 159, 85028 Rionero In Vulture PZ, Italy","[40.92563260000001, 15.6775519]"
"Contrade di Taurasi - Lonardo Winery, Italy","Italy, Via Municipio, 39, 83030 Taurasi AV, Italy","[41.007938, 14.957157]"
"Cristom Winery, US","6905 Spring Valley Rd NW, Salem, OR 97304, USA","[45.034548, -123.120539]"
"Twisted Twig Winery, US","900 2nd St, Sacramento, CA 95814, USA","[38.584063, -121.503877]"
"Claar Winery, US","1081 Glenwood Rd, Pasco, WA 99301, USA","[46.47760299999999, -119.238146]"
"Mumm Napa Winery, US","8445 Silverado Trail, Rutherford, CA 94558, USA","[38.47831530000001, -122.3937191]"
"Parker Station Winery, US","6200 Foxen Canyon Rd, Los Olivos, CA 93441, USA","[34.742742, -120.11879]"
"Sequoia Grove Winery, US","8338 St Helena Hwy, Napa, CA 94558, USA","[38.4493173, -122.4119729]"
"Haak Winery, US","6310 Avenue T, Santa Fe, TX 77510, USA","[29.351393, -95.107821]"
"Inspire Moore Winery, US","197 N Main St, Naples, NY 14512, USA","[42.6246969, -77.39452419999999]"
"Les Vignobles Gueissard Winery, France","405 Traverse des Grenadières, 83330 Le Beausset, France","[43.1835067, 5.820316099999999]"
"Louis Max Winery, France","6 Rue de Chaux, 21700 Nuits-Saint-Georges, France","[47.13603060000001, 4.9444518]"
"Paris Valley Road Cellars Winery, US","Paris Valley Rd, San Ardo, CA 93450, USA","[36.0497107, -120.9779104]"
"San Cassiano Winery, Italy","Strada Micurà de Rü, 20, 39030 San Cassiano in Badia BZ, Italy","[46.5713707, 11.9311389]"
"Tin Barn Winery, US","21692 8th St E Ste. 340, Sonoma, CA 95476, USA","[38.263247, -122.439948]"
"Casas del Bosque Winery, Chile","Hijuelas Nº 2 Ex Fundo - Sta Rosa, Casablanca, Región de Valparaíso, Chile","[-33.3174912, -71.4349889]"
"Sanford Winery, US","5010 Santa Rosa Rd, Lompoc, CA 93436, USA","[34.608741, -120.329219]"
"Commanderie de la Bargemone Winery, France","7 Boulevard national, 13410 Saint-Cannat, France","[43.6029999, 5.3409089]"
"Le Albare Winery, Italy","Via Pergola, 33, 37030 Montecchia di Crosara VR, Italy","[45.4551184, 11.3019027]"
"LXV Winery, US","1306 Pine St B, Paso Robles, CA 93446, USA","[35.6282623, -120.6888083]"
"Nuiton-Beaunoy Winery, France","97 Route de Pommard, 21200 Beaune, France","[47.01346580000001, 4.815776100000001]"
"Pierre Gruber Winery, France","49 Rue Henri Challand, 21700 Nuits-Saint-Georges, France","[47.13364720000001, 4.9505496]"
"Pisoni Winery, Italy","Via S. Siro, 7, 38076 Pergolese, Lasino TN, Italy","[46.0274853, 10.9610721]"
"Quinta de Chocapalha Winery, Portugal","Unnamed Rd, Portugal","[39.07607, -9.1069142]"
"Thomas George Winery, US","8075 Westside Rd, Healdsburg, CA 95448, USA","[38.5229121, -122.878933]"
"Vicente Faria Vinhos Winery, Portugal","4485-366 Mosteiró, Portugal","[41.2807231, -8.675626399999999]"
"Broadway Vineyards, US","21330 Broadway, Sonoma, CA 95476, USA","[38.26364, -122.46065]"
"Corte Adami Winery, Italy","Via Circonvallazione, 32, 37038 Soave VR, Italy","[45.4177465, 11.2413089]"
"De Stefani Winery, Italy","Via Luigi Cadorna, 92, 30020 Fossalta di Piave VE, Italy","[45.643842, 12.493083]"
"Enrique Foster Winery, Argentina","5509 de, Brandsen 1039, Mendoza, Argentina","[-33.06527800000001, -68.8962835]"
"Hobo Winery, US","412 Timothy Rd, Santa Rosa, CA 95407, USA","[38.4297753, -122.7216482]"
"Swiftwater Cellars Winery, US","301 Rope Rider Dr, Cle Elum, WA 98922, USA","[47.20824, -120.996962]"
"Te Mata Winery, New Zealand","349 Te Mata Rd, Parkvale, Havelock North 4294, New Zealand","[-39.67084699999999, 176.916056]"
"Peloton Winery, US","470 Front St, Avila Beach, CA 93424, USA","[35.1793665, -120.7342805]"
"Portalupi Winery, US","107 North St, Healdsburg, CA 95448, USA","[38.6121971, -122.8706549]"
"Roche de Bellene Winery, France","39 Rue du Faubourg Saint-Nicolas, 21200 Beaune, France","[47.0292903, 4.8400977]"
"Judge Palmer Winery, US","1830 Jameson Rd, Healdsburg, CA 95448, USA","[38.6247742, -122.9136827]"
"Kakhetia Traditional Winemaking Winery, ","Village Napareuli, Napareuli 2200, Georgia","[42.040114, 45.503756]"
"Mirror Winery, US","1461 Main St #46, St Helena, CA 94574, USA","[38.505751, -122.471561]"
"Peltier Winery, US","22150 N Kennefick Rd, Acampo, CA 95220, USA","[38.187195, -121.241505]"
"Robert Karl Winery, US","115 W Pacific Ave, Spokane, WA 99201, USA","[47.655263, -117.414093]"
"Shannon Ridge Winery, US","13888 Point Lakeview Rd, Lower Lake, CA 95457, USA","[38.9145445, -122.649436]"
"TAO Winery, US","Tau Rock Vineyard Ln, Tryon, NC 28782, USA","[35.2225191, -82.29836829999999]"
"Le Vigne di Ca' Nova Winery, Italy","Località Cà Nova, 1, 12050 Roddino CN, Italy","[44.579272, 8.020705999999999]"
"Domaine Terre de Mistral Winery, France","Chemin du Pavillon - Route de Peynier, 13790 Rousset, France","[43.4707208, 5.6284011]"
"Château de la Bouyère Winery, France","2290 S French Rd, Lake Leelanau, MI 49653, USA","[44.9484416, -85.7551398]"
"Simi Winery, US","Simi, CA 95448, USA","[38.6393739, -122.8722]"
"Topanga Winery, US","1414 N Topanga Canyon Blvd, Topanga, CA 90290, USA","[34.11063, -118.591767]"
"Les Maîtres Vignerons de la Presqu'île de Saint-Tropez Winery, France","La foux, 270 Route Départementale 98, 83580 Gassin, France","[43.261333, 6.5730217]"
"Vin Roc Winery, US","4069 Atlas Peak Rd, Napa, CA 94558, USA","[38.4230587, -122.2474411]"
"Woodenhead Winery, US","5700 River Rd, Santa Rosa, CA 95401, USA","[38.484635, -122.84352]"
"Château Siffle Merle Winery, France","1 Le Merle, 33860 Marcillac, France","[45.26466, -0.5141991]"
"Domaine de Beauregard Winery, France","Beauregard, 24610 Villefranche-de-Lonchat, France","[44.951306, 0.031241]"
"Freixenet Winery, Spain","Plaça Joan Sala, 2, 08770 Sant Sadurní d'Anoia, Barcelona, Spain","[41.4207495, 1.7940599]"
"Santa Quiteria Winery, Spain","Calle Baltasar González Sáez, 34, 02694 Higueruela, Albacete, Spain","[38.96105360000001, -1.44437]"
"Valley of the Moon Winery, US","777 Madrone Rd, Glen Ellen, CA 95442, USA","[38.3406822, -122.5061926]"
"Pey-Marin Winery, US","5050 US-129, Cleveland, GA 30528, USA","[34.636856, -83.82958300000001]"
"Domaine Costa Lazaridi Winery, Greece","Epar.Od. Platamona - Adrianis 47, Adriani 661 00, Greece","[41.1308633, 24.2599608]"
"Gundlach Bundschu Winery, US","2000 Denmark St, Sonoma, CA 95476, USA","[38.2748182, -122.4251252]"
"Château Barreyres Winery, France","46 Route du Port, 33460 Arcins, France","[45.0854928, -0.7016455]"
"Vigneti Villabella Winery, Italy","Str. Bisavola, 6, 37011 Calmasino VR, Italy","[45.5119428, 10.7614249]"
"Le Ragose Winery, Italy","Località Le Ragose, 37024 Arbizzano di Negrar VR, Italy","[45.50241399999999, 10.9590865]"
"Guerrieri Rizzardi Winery, Italy","Str. Campazzi, 2, 37011 Bardolino VR, Italy","[45.543052, 10.735917]"
"Château Nairac Winery, France","81 Avenue Aristide Briand, 33720 Barsac, France","[44.6115381, -0.317711]"
"Cosme Palacio y Hermanos Winery, Spain","San Lazaro, 1, 01300 Guardia, Araba, Spain","[42.5483632, -2.5865305]"
"Domaine Seguin Winery, France","50 Rue Louis Joseph Gousse, 58150 Pouilly-sur-Loire, France","[47.2888172, 2.9704063]"
"Gilberts Winery, Portugal","290 Washington St, Dedham, MA 02026, USA","[42.24999070000001, -71.17071949999999]"
"Lustau Winery, Spain","Calle Arcos, 53, 11402 Jerez de la Frontera, Cádiz, Spain","[36.6844443, -6.1307551]"
"Watershed Winery, Australia","Bussell Hwy & Darch Road, Margaret River WA 6285, Australia","[-33.99248, 115.090956]"
"Château Rabaud-Promis Winery, France","Rabaud-Promis, 33210 Bommes, France","[44.558467, -0.334953]"
"Daedalus Cellars Winery, US","990 OR-99W, Dundee, OR 97115, USA","[45.2758787, -123.0131673]"
"Bodegas Dios Baco S.L. Winery, Spain","Calle Tarajal, 3, 11407 Jerez de la Frontera, Cádiz, Spain","[36.7056233, -6.1342875]"
"Cantine Barbera Winery, Italy","92013 Menfi AG, Italy","[37.5905247, 12.9363906]"
"Yangarra Estate Vineyard, Australia","809 McLaren Flat Rd, Kangarilla SA 5157, Australia","[-35.1578468, 138.6403485]"
"Yering Station Winery, Australia","38 Melba Hwy, Yarra Glen VIC 3775, Australia","[-37.6734502, 145.3839517]"
"Alvear Winery, Spain","Avenida de María Auxiliadora, 1,, 14550 Montilla, Córdoba, Spain","[37.5825871, -4.6437323]"
"Avancia Winery, Spain","Rúa Santa Rita, 2-22, 32300 O Barco, Ourense, Spain","[42.41788469999999, -6.9861507]"
"Seconda Stella a Destra Winery, Italy","Kikadini, Jambiani, Tanzania","[-6.3305145, 39.5482164]"
"Sokol Blosser Winery, US","5000 NE Sokol Blosser Ln, Dayton, OR 97114, USA","[45.251758, -123.049982]"
"Soléna Winery, US","17096 NE Woodland Loop Rd, Yamhill, OR 97148, USA","[45.3398291, -123.128096]"
"Sonoma-Cutrer Winery, US","4401 Slusser Rd, Windsor, CA 95492, USA","[38.4961945, -122.8270995]"
"Talisman Winery, US","13651 Arnold Dr, Glen Ellen, CA 95442, USA","[38.3635868, -122.5241608]"
"Zenith Winery, US","5657 Zena Rd NW, Salem, OR 97304, USA","[45.0241135, -123.1439068]"
"Bindella Winery, Italy","Via delle Tre Berte, 10/A, 53045 Montepulciano SI, Italy","[43.095512, 11.86654]"
"Cannonball Winery, US","1290 Healdsburg Ave, Healdsburg, CA 95448, USA","[38.6261423, -122.8726419]"
"Bosque De Matasnos Winery, Spain","Spain, Burgos, Hontangas, スペイン","[41.5686949, -3.7943157]"
"Cantina del Giusto Winery, Italy","Via Gaci Enea, 14, 53045 Acquaviva SI, Italy","[43.113566, 11.866557]"
"Château la Vieille Cure Winery, France","Coutreau, 33141 Saillans, France","[44.95488, -0.2716739]"
"Château Lestruelle Winery, France","1 Rue de Lamena, 33340 Saint-Yzans-de-Médoc, France","[45.3233915, -0.8214859999999999]"
"Château Monbousquet Winery, France","42 Avenue de Saint-Emilion, 33330 Saint-Sulpice-de-Faleyrens, France","[44.8711466, -0.1757072]"
"Sogevinus Winery, Portugal","Av. de Diogo Leite 344, 4430-197 Vila Nova de Gaia, Portugal","[41.1391, -8.609000199999999]"
"Roger Lassarat Winery, France","Le Martelet, 71960 Vergisson, France","[46.311234, 4.7156636]"
"Russiz Superiore Winery, Italy","Via Gorizia, 121, 34072 Gradisca d'Isonzo GO, Italy","[45.898435, 13.50953]"
"Bodega Chacra Winery, Argentina","Río Negro, Argentina","[-39.0339961, -67.3294159]"
"Bret Brothers Winery, France","125 Rue aux Bourgeois, 71680 Vinzelles, France","[46.2705001, 4.7649238]"
"Ca' de Calle Winery, Argentina","Alberti 154, 5507 Luján de Cuyo, Mendoza, Argentina","[-33.022236, -68.875812]"
"Collovray et Terrier Winery, France","La Cuette, 71960 Davayé, France","[46.298989, 4.755555999999999]"
"Domaine Michel Bouzereau Winery, France","5 Rue Robert Thénard, 21190 Meursault, France","[46.9793402, 4.7717803]"
"Girard Winery, US","6795 Washington St, Yountville, CA 94599, USA","[38.4064011, -122.3672288]"
"Mark Ryan Winery, US","14475 Redmond-Woodinville Rd NE, Woodinville, WA 98072, USA","[47.732142, -122.1421609]"
"Bernardus Winery, US","5 W Carmel Valley Rd, Carmel Valley, CA 93924, USA","[36.4791928, -121.730483]"
"Daniel Barraud Winery, France","3 Rue de la Mairie, 71960 Vergisson, France","[46.3095098, 4.716081099999999]"
"Dinastía Vivanco Winery, Spain","Carretera Nacional, 232, 26330 Briones, La Rioja, Spain","[42.539426, -2.777571]"
"Domaine des Comtes Lafon Winery, France","5 Rue Pierre Joigneaux, 21190 Meursault, France","[46.9800471, 4.7713307]"
"Gordon Brothers Winery, US","671 Levey Rd, Pasco, WA 99301, USA","[46.279473, -118.845608]"
"Grand Rêve Winery, US","18720 142nd Ave NE, Woodinville, WA 98072, USA","[47.7631003, -122.1495286]"
"Domaine Bertrand Winery, France","Domaine De Cigalus, 11200 Bizanet, France","[43.153896, 2.839989]"
"Domaine Carrette Winery, France","39 Route des Crays, 71960 Vergisson, France","[46.31230799999999, 4.713919]"
"Domaine Jessiaume Winery, France","10 Rue de la Gare, 21590 Santenay, France","[46.9111604, 4.701288]"
"Domaine Pascal et Mireille Renaud Winery, France","Solutré-Pouilly bas, Impasse du Tonnelier, 71960 Pouilly, France","[46.29036, 4.740847]"
"Drink Washington State Winery, US","9 S 1st Ave, Walla Walla, WA 99362, USA","[46.0667935, -118.3374387]"
"Francis Ford Coppola Winery, US","300 Via Archimedes, Geyserville, CA 95441, USA","[38.6795519, -122.8878471]"
"La Spinona Winery, Italy","Via Secondine, 30, 12050 Barbaresco CN, Italy","[44.72412, 8.0773557]"
"McKahn Winery, US","2245-A S Vasco Rd, Livermore, CA 94550, USA","[37.6764, -121.7193616]"
"Pacific Rim Winery, US","1111 E Burnside St, Portland, OR 97214, USA","[45.5230642, -122.6543001]"
"Rijckaert Winery, France","Aux Correaux, 71570 Leynes, France","[46.267481, 4.720476]"
"Vite Colte Winery, Italy","Via Bergesia, 6, 12060 Barolo CN, Italy","[44.62619470000001, 7.9546986]"
"Woodward Canyon Winery, US","11920 US-12, Lowden, WA 99360, USA","[46.0564069, -118.5834968]"
"Jorge Ordóñez & Co. Winery, Spain","Colorado, USA","[39.5500507, -105.7820674]"
"Kitá Winery, US","300 N 12th St Unit 1A, Lompoc, CA 93436, USA","[34.6432104, -120.4350939]"
"Le Casque Winery, US","9280 Horseshoe Bar Rd, Loomis, CA 95650, USA","[38.8107335, -121.1277428]"
"Luis Cañas Winery, Spain","De Samaniego Errepidea, 10, 01307 Eskuernaga, Araba, Spain","[42.5452523, -2.6673706]"
"Adriano Marco & Vittorio Winery, Italy","Frazione San Rocco Seno D'Elvio, 13a, 12051 Alba CN, Italy","[44.6861028, 8.063432299999999]"
"Black Ridge Winery, US","18570 Black Rd, Los Gatos, CA 95033, USA","[37.189445, -122.005235]"
"Cantina del Pino Winery, Italy","Strada Ovello, 31, 12050 Barbaresco CN, Italy","[44.73080100000001, 8.086580999999999]"
"Château de Chénas Winery, France","69840 Chénas, France","[46.2185876, 4.7192583]"
"Château d'Ollières Winery, France","Rue du Château, 83470 Ollières, France","[43.483725, 5.830227199999999]"
"Dante Rivetti Winery, Italy","12, Via, 12052 Bricco di Neive CN, Italy","[44.711251, 8.135397]"
"Domaine Pierre Guillemot Winery, France","Rue Boulanger et Vallée, 21420 Savigny-lès-Beaune, France","[47.06286799999999, 4.819434]"
"Florent Descombe Winery, France","462 Rue du Beaujolais, 69460 Saint-Étienne-des-Oullières, France","[46.0689025, 4.648934500000001]"
"Gillmore Winery, Chile","35°35'18. 71°54'60. - Pje 0 5, Rengo, Región del Libertador Gral. Bernardo O’Higgins, Chile","[-35.588481, -71.916664]"
"Giovanna Madonia Winery, Italy","Via Cappuccini, 130, 47032 Bertinoro FC, Italy","[44.1444071, 12.1343635]"
"Cairdeas Winery, US","3395 WA-150, Chelan, WA 98816, USA","[47.87462000000001, -120.108829]"
"RoxyAnn Winery, US","3283 Hillcrest Rd, Medford, OR 97504, USA","[42.33128960000001, -122.820383]"
"Les Vins de Vienne Winery, France","Zone d'Activités, Jassoux, 42410 Chavanay, France","[45.4312865, 4.752187699999999]"
"Señorio de Uñuela Winery, Spain","Carretera de Cenicero, s/n, 26313 Uruñuela, La Rioja, Spain","[42.4509602, -2.7056588]"
"Adega de Monção Winery, Portugal","Cruzes - Macedo, 4950-279 Monção, Portugal","[42.063675, -8.4907147]"
"Château Routas Winery, France","Route de Barjols, 83149 Chateauvert, France","[43.498799, 5.9857]"
"Clos du Lac Winery, US","3151 CA-88, Ione, CA 95640, USA","[38.3129303, -120.9663474]"
"Eleanor Winery, US","Walla Walla, WA 99362, USA","[46.0645809, -118.3430208]"
"Ferré I Catasús Winery, Spain","Crta. Sant Sadurní, Km. 8, 08792 La Granada del Penedès, Barcelona, Spain","[41.374113, 1.726891]"
"Rigg Estate Vineyards, US","East Riggs Road, Arizona, USA","[33.2191874, -111.7148059]"
"Robledo Winery, US","21901 Bonness Rd, Sonoma, CA 95476, USA","[38.2473916, -122.4834992]"
"Corliss Estates Winery, US","511 N 2nd Ave, Walla Walla, WA 99362, USA","[46.0711124, -118.3438796]"
"Etude Winery, US","1250 Cuttings Wharf Rd, Napa, CA 94559, USA","[38.2458215, -122.3150228]"
"Bink Winery, US","The Offices at Pondmark, POB 1077, Vineyard Haven, MA 02568, USA","[41.4542786, -70.6036395]"
"Ashan Winery, US","C500, 19501 144th Ave NE, Woodinville, WA 98072, United States","[47.769478, -122.150242]"
"Aluvé Winery, US","3699 Mill Creek Rd, Walla Walla, WA 99362, USA","[46.0836838, -118.1911832]"
"Buglioni Winery, Italy","Via Campagnole, 55, 37029 Settimo VR, Italy","[45.49629360000001, 10.9177303]"
"Château de Crézancy Winery, France","02650 Crézancy, France","[49.047954, 3.510232]"
"Domaine Henri Delagrange Winery, France","7 Cours François Blondeau, 21190 Volnay, France","[47.006426, 4.776332]"
"Sleeping Giant Winery, US","6206 Canyon View Rd, Summerland, BC V0H 1Z7, Canada","[49.5684823, -119.6577259]"
"Solminer Winery, US","2890 Grand Ave, Los Olivos, CA 93441, USA","[34.6653894, -120.1148329]"
"Squawking Magpie Winery, New Zealand","807 Heretaunga St E, Parkvale, Hastings 4122, New Zealand","[-39.6491095, 176.8504284]"
"Trinity Hill Winery, New Zealand","2396 State Highway 50, Fernhill, Hastings 4175, New Zealand","[-39.6158695, 176.7338485]"
"WesMar Winery, US","PO Box 563, Graton, CA 95444, USA","[38.4336687, -122.8690828]"
"JM Cellars Winery, US","14404 137th Pl NE, Woodinville, WA 98072, USA","[47.7317055, -122.155311]"
"Maison Stéphane Brocard Winery, France","60 Avenue du 14 Juillet, 21300 Chenôve, France","[47.2836518, 5.0084756]"
"Gottfried Mocke Wine Projects Winery, South Africa","De Beers Avenue, Paardevlei, Cape Town, 7130, South Africa","[-34.0909339, 18.811646]"
"Vriesenhof Winery, South Africa","Paradyskloof Rd, Stellenbosch, 7600, South Africa","[-33.971098, 18.867111]"
"Nitida Winery, South Africa","Tygerbergvalley Rd, Eikenbosch, Durbanville, 7551, South Africa","[-33.8347509, 18.5933197]"
"Wayfarer Winery, US","33250 King Ridge Rd, Cazadero, CA 95421, USA","[38.6161249, -123.275678]"
"Passopisciaro Winery, Italy","Via Guardiola, 95012 Castiglione di Sicilia CT, Italy","[37.8607957, 15.0265863]"
"Calera Winery, US","9159, 11300 Cienega Rd, Hollister, CA 95023, United States","[36.7366002, -121.3691394]"
"Donum Winery, US","24500 Ramal Rd, Sonoma, CA 95476, USA","[38.231282, -122.402864]"
"Massolino Winery, Italy","Piazza Maria Cappellano, 8, 12050 Serralunga d'Alba CN, Italy","[44.609842, 7.99982]"
"Château Pierre-Bise Winery, France","1 Impasse du Chanoine de Douves, 49750 Beaulieu-sur-Layon, France","[47.3236158, -0.6185058999999999]"
"Three Sticks Winery, US","143 W Spain St, Sonoma, CA 95476, USA","[38.2937801, -122.459743]"
"Giacomo Conterno Winery, Italy","Località Ornati, 2, 12065 Monforte D'alba CN, Italy","[44.5805575, 7.9657721]"
"Biondi Winery, Italy","Via Ronzini, 55a, 95039 Trecastagni CT, Italy","[37.6362517, 15.0798367]"
"Château de Fesles Winery, France","Fesles, 49380 Thouarcé, France","[47.264546, -0.470306]"
"COS Winery, Italy","SP3, Km 14,300, 97019 Vittoria RG, Italy","[37.0296949, 14.5226706]"
"Aguirre Winery, Chile","8580 Tesla Rd, Livermore, CA 94550, USA","[37.668937, -121.689681]"
"Wood Family Vineyards, US","2407 Research Dr, Livermore, CA 94550, USA","[37.6753907, -121.7200332]"
"Cara Mia Winery, Italy","654 9th Ave, New York, NY 10036, USA","[40.7607175, -73.9907444]"
"Materra Cunat Family Vineyards, US","4326 Big Ranch Rd, Napa, CA 94558, USA","[38.3624018, -122.3126436]"
"Hess Select Winery, US","4411 Redwood Rd, Napa, CA 94558, USA","[38.3380587, -122.3900926]"
"Quarticello Winery, Italy","Str. Matilde di Canossa, 1, 42027 Montecchio Emilia RE, Italy","[44.683501, 10.4414425]"
"Six Degrees Winery, US","3111 Glendale Blvd #2, Los Angeles, CA 90039, USA","[34.1164803, -118.2630416]"
"Château de Piote Winery, France","26 Rue de Piote, 33240 Aubie-et-Espessas, France","[45.028822, -0.4033970000000001]"
"Amador Cellars Winery, US","11093 Shenandoah Rd, Plymouth, CA 95669, USA","[38.525597, -120.8169223]"
"Green Truck Winery, US","Interstate 10 Truck Rte, Phoenix, AZ, USA","[33.4271546, -112.0418344]"
"Brochelle Vineyards, US","2323 Tuley Rd #130, Paso Robles, CA 93446, USA","[35.644143, -120.656091]"
"Cornellana Winery, Chile","33850 Cornellana, Asturias, Spain","[43.4123695, -6.1579879]"
"Harlow Ridge Winery, US","12615 US-52, Dubuque, IA 52002, USA","[42.5616312, -90.732801]"
"Dominio de Eguren Winery, Spain","Laguardia Enparantza, 2, 01309 Páganos, Araba, Spain","[42.5559939, -2.6026309]"
"William Cole Winery, Chile","Casablanca, Valparaiso Region, Chile","[-33.3168079, -71.3489086]"
"Bodegas 1898 Winery, Spain","Ctra. de Vic, 83, 08241 Manresa, Barcelona, Spain","[41.7286746, 1.8295331]"
"Fattoria Giuseppe Savini Winery, Italy","Contrada Piane Vomano, 64020 Fraz. Pagliare, Morro d'Oro TE, Italy","[42.6334442, 13.9596737]"
"Eguren Winery, Spain","A-124, Km 61, 01309 Guardia, Álava, Spain","[42.56965700000001, -2.613959]"
"Quinta do Castelinho Winery, Portugal","Quinta Ribeira, Nagoselo do Douro, 5130-909 S. João da Pesqueira, Portugal","[41.185303, -7.389695]"
"Rock Point Winery, US","111 W Main St, Marblehead, OH 43440, USA","[41.54048119999999, -82.7235274]"
"Jose Maria Vieira Winery, Portugal","R. Infante Dom Henrique 421, 4439-909 Rio Tinto, Portugal","[41.1703363, -8.547016700000002]"
"Weisinger Winery, US","3150 Siskiyou Blvd, Ashland, OR 97520, USA","[42.1673999, -122.6589563]"
"Il Feuduccio Di S. Maria D'Orni Winery, Italy","Via Feuduccio, 2, 66036 Orsogna CH, Italy","[42.256524, 14.2707842]"
"Illuminati Dino Winery, Italy","Contrada S. Biagio, 18, 64010 Controguerra TE, Italy","[42.8420993, 13.7958455]"
"Casa Ferreirinha Winery, Portugal","Avenida Diogo Leite 70, 4440-452 Porto, Portugal","[41.1369817, -8.6193489]"
"Château de Birot Winery, France","8 Birot, 33410 Beguey, France","[44.653078, -0.317354]"
"Chic Barcelona Winery, Spain","Carrer del Rosselló, 339, 08037 Barcelona, Spain","[41.4013261, 2.1677829]"
"Prats & Symington LDA Winery, Portugal","R. Barão Forrester 137, 5130 Vila Nova de Gaia, Portugal","[41.19502260000001, -7.4777204]"
"Quinta do Filoco Winery, Portugal","Quinta do Vallado, Vilarinho dos Freires, 5050-364 Peso da Régua, Portugal","[41.162005, -7.766782]"
"Villa Giada Winery, Italy","Regione Ceirole, 10, 14053 Canelli AT, Italy","[44.7449852, 8.262152]"
"Palacio de Fefiñanes Winery, Spain","Pazo de Fefiñáns, Plaza de Fefiñanes, s/n, 36630 Cambados, Pontevedra, Spain","[42.5188895, -8.8132361]"
"Sanguis Winery, US","8 Ashley Ave, Santa Barbara, CA 93103, USA","[34.4206642, -119.6792724]"
"Santa Sofia Winery, Italy","Via Ca’ Dede’, 61, Pedemonte, San Pietro in Cariano VR, Italy","[45.499229, 10.923712]"
"Sartori Winery, Italy","Via Casette, 4, 37024 Arbizzano-Santa Maria VR, Italy","[45.5042434, 10.9343997]"
"Scott Family Winery, US","1680 Silverado Trail S, St Helena, CA 94574, USA","[38.4885429, -122.4071289]"
"Arger-Martucci Winery, US","1455 Inglewood Ave, St Helena, CA 94574, USA","[38.48598210000001, -122.4511752]"
"Autonom Winery, US","990 N 8000 W, Mendon, UT 84325, USA","[41.7475008, -112.0233395]"
"Bodegas Tarima Winery, Spain","Diseminado Pascualetes, 6 03659, 03659, Alicante, Spain","[38.35118000000001, -1.05141]"
"Château Grande Cassagne Winery, France","9 Place Gambetta, 30800 Saint-Gilles, France","[43.6884118, 4.3745457]"
"Dierberg Winery, US","1280 Drum Canyon Rd, Lompoc, CA 93436, USA","[34.6433786, -120.2854332]"
"Dominio de Tares Winery, Spain","Calle Barredos, 4, 24318 San Román de Bembibre, León, Spain","[42.6189836, -6.4666235]"
"Finca Allende Winery, Spain","Plaza Ibarra, 1, 26330 Briones, La Rioja, Spain","[42.543473, -2.7875834]"
"Genium Celler Winery, Spain","Carrer Nou, 92, 43376 Poboleda, Tarragona, Spain","[41.2328383, 0.8452236999999999]"
"Keuka Lake Vineyards, US","8882 Co Rd 76, Hammondsport, NY 14840, USA","[42.431375, -77.199726]"
"Korta Winery, Chile","Sagrada Familia, Maule Region, Chile","[-35.0384245, -71.4577389]"
"Francesco Rinaldi Winery, Italy","Via Umberto Sacco, 4, 12051 Alba CN, Italy","[44.6968732, 8.0329412]"
"No Girls Winery, US","10216 US-259, Broken Bow, OK 74728, USA","[34.1649062, -94.7590615]"
"Orfila Winery, US","13455 San Pasqual Rd, Escondido, CA 92025, USA","[33.0705436, -117.0439278]"
"Curto Marco Winery, Italy","12064 Annunziata CN, Italy","[44.639652, 7.952852]"
"Domaine Drouhin Winery, US","6750 NE Breyman Orchards Rd, Dayton, OR 97114, USA","[45.2655399, -123.0556336]"
"Domaine Laporte Winery, France","18300 Sancerre, France","[47.3375792, 2.7968031]"
"Bethel Heights Winery, US","6060 Bethel Heights Rd NW, Salem, OR 97304, USA","[45.037171, -123.1526661]"
"Bodega Catena Zapata Winery, Argentina","5509 Luján de Cuyo, Mendoza Province, Argentina","[-33.166217, -68.919473]"
"Casa Anadia Winery, Portugal","R. do Cabo Davila 1, 3530-149 Mangualde, Portugal","[40.6040154, -7.7653053]"
"Daniel Chotard Winery, France","5 Rue Fontaines, 18300 Crézancy-en-Sancerre, France","[47.3080895, 2.7648767]"
"Château Dassault Winery, France","1 Couprie, 33330 Saint-Émilion, France","[44.908458, -0.142026]"
"Château Rahoul Winery, France","4 Route du Courneau, 33640 Portets, France","[44.687992, -0.4259353]"
"Alter Ego de Palmer Winery, France","LIeu-dit Issan, 33460 Margaux, France","[45.0368413, -0.6694226]"
"Château Fontenil Winery, France","11 Lieu-dti Cardeneau, 33141 Saillans, France","[44.9614133, -0.2768468]"
"Château Kirwan Winery, France","33460 Cantenac, France","[45.0266329, -0.657622]"
"Château Latour-Martillac Winery, France","8 Chemin la Tour, 33650 Martillac, France","[44.7115527, -0.5392612999999999]"
"Vietti Winery, Italy","Piazza Vittorio Veneto, 5, 12060 Castiglione Falletto CN, Italy","[44.6242287, 7.9792361]"
"Château Bourgneuf-Vayron Winery, France","1 Chemin de Bourgneuf, 33500 Pomerol, France","[44.930908, -0.212844]"
